# src_chip dst_chip src_pe dst_pe inject_cycle
# entries=77 chips=4 pe_per_chip=64 timesteps=3 interval=500 seed=421
3 2 26 12 500
1 2 41 43 500
0 2 39 19 500
1 0 22 55 500
1 2 9 53 500
1 2 57 63 500
1 3 56 24 500
2 1 33 0 500
3 2 36 50 500
2 1 8 5 500
2 3 56 30 500
1 0 2 42 500
1 2 39 49 500
2 1 52 19 500
2 0 16 10 500
3 2 42 17 500
2 3 30 6 500
3 1 0 35 500
2 1 51 41 500
0 3 27 25 500
2 1 62 17 1000
0 2 3 21 1000
1 2 52 28 1000
2 3 5 0 1000
1 0 22 58 1000
2 1 16 32 1000
0 2 12 35 1000
2 0 54 1 1000
0 2 30 42 1000
1 0 23 12 1000
1 0 41 14 1000
0 3 6 32 1000
2 0 61 22 1000
1 0 60 18 1000
2 1 14 37 1000
3 1 51 34 1000
3 0 34 20 1000
0 3 52 37 1000
2 1 2 17 1000
1 3 35 60 1000
2 0 63 13 1000
1 0 22 44 1000
3 1 43 55 1000
3 1 31 24 1500
2 3 23 38 1500
3 0 19 6 1500
0 3 39 5 1500
1 0 38 4 1500
3 1 23 27 1500
3 1 32 0 1500
1 0 62 40 1500
0 2 61 15 1500
3 1 6 12 1500
1 2 32 52 1500
3 1 21 6 1500
3 0 46 61 1500
0 2 26 56 1500
1 0 24 52 1500
1 2 50 37 1500
1 0 23 22 1500
1 2 7 29 1500
0 3 44 28 1500
0 1 60 50 1500
3 1 44 32 1500
1 0 42 22 1500
1 0 19 3 1500
2 3 34 6 1500
1 0 56 27 1500
1 0 56 31 1500
1 0 8 58 1500
3 2 4 41 1500
1 0 48 1 1500
2 0 30 46 1500
2 3 46 42 1500
0 2 63 62 1500
2 0 0 42 1500
3 0 10 22 1500
